Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled RRV Richmond,Current Quantity RRV Richmond,New Quantity RRV Richmond,Stock Alert Enabled RRV Richmond,Stock Alert Count RRV Richmond,Price RRV Richmond,Enabled TBDL Richmond,Current Quantity TBDL Richmond,New Quantity TBDL Richmond,Stock Alert Enabled TBDL Richmond,Stock Alert Count TBDL Richmond,Price TBDL Richmond,Enabled TVM McHenry,Current Quantity TVM McHenry,New Quantity TVM McHenry,Stock Alert Enabled TVM McHenry,Stock Alert Count TVM McHenry,Price TVM McHenry,Enabled TVM Richmond,Current Quantity TVM Richmond,New Quantity TVM Richmond,Stock Alert Enabled TVM Richmond,Stock Alert Count TVM Richmond,Price TVM Richmond
V2C5QRH7LU5234ANGU3OAPBQ,"1 Pcs Incense Burner, Incense Holder for Sticks, Lotus Incense","10L x 5W x 3Th Centimeters, black",,"This Incense Burner features a lotus design and serves as both an incense holder for sticks and a decorative showpiece. Finished in bronze, it includes a detachable ash catcher for easy cleanup. Ideal for puja and Diwali decor, this agarbatti stand combines functionality with aesthetic appeal, enhancing your spiritual and festive settings.",,,,,,,visible,Physical good,,,,Y,,,,60.23,,N,,N,,N,#size5729d5d8-63d1-4a73-861c-57899f7c2731,10L x 5W x 3Th Centimeters,#color5729d5d8-63d1-4a73-861c-57899f7c2731,black,,,,,,N,,,,,,N,,,,,,Y,10,,,,,N,,,,,
CPHBEZFVIK625CRXBJNYWQEZ,1 Pcs Lotus Flower Design Agarbatti Stand Incense Holder Ash Catcher,"30L x 30W x 3Th Centimeters, Brwon",,"This Lotus Flower Design Agarbatti Stand is crafted from metal and features an elegant lotus flower motif. Ideal for pooja, office, mandir, and various spiritual events, it also functions as an incense burner with an integrated ash catcher. Finished in bronze, this versatile holder adds a touch of grace and tradition to your spiritual practices.",,,,,,,visible,Physical good,,,,Y,,,,60.23,,N,,N,,N,#sizeaaf3b7f4-dd53-4016-83a7-1f4ca61e3470,30L x 30W x 3Th Centimeters,#coloraaf3b7f4-dd53-4016-83a7-1f4ca61e3470,Brwon,,,,,,N,,,,,,N,,,,,,Y,10,,,,,N,,,,,
5AZNZK2HOPB3GTIZGQ4GDSNP,10'' Inch Quartz Crystal Singing Bowl with Engraved Chakra Symbol:,Default Title,,"<p>The Root Chakra is one's vitality (Chi, life, force), your physical energy. It connects you to your origins(family and beliefs). A healthy Root Chakra will give you courage, passion, self-confidence, and stability. It governs the spine, bones, blood circulation, constipation, obesity, and immune system</p>",,,,,,,visible,Physical good,,,,Y,,,,678.23,,N,,,,N,#titlee2dd9aaa-3770-4c5c-891c-73930922f9dd,Default Title,,,,,,,,N,,,,,,N,,,,,,Y,1,,,,,N,,,,,
IGQU4RAFVA4CAZ7TNLRPWFQH,11cm Solid Brass Singing Bowl,,,"This polished brass singing bowl comes with a fabric mat and wooden striker to create the ringing tones that clear negative energy and help create a state of deep meditation. To use, hold the bowl gently in the palm of your hand and strike the outside of the bowl. While the tone rings, lightly circle the striker around the outside of the bowl. Dimensions: H7cm x W14cm x D14cm; Material: Brass",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,199.99,,N,,N,,N,,,,,,,,,,Y,,,,,,Y,,,,,,Y,131,,,,,Y,,,,,
NLNBRVKITO4ZNDMN3WVIAF6T,15cm Beaten Brass Singing Bowl,,,"This 15cm beaten brass singing bowl comes with a fabric mat and wooden striker to create the ringing tones that clear negative energy and help create a state of deep meditation. To use, hold the bowl gently in the palm of your hand and strike the outside of the bowl. While the tone rings, lightly circle the striker around the outside of the bowl. Dimensions: H8cm x W15cm x D15cm; Material: Brass",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,199.99,,N,,N,,N,,,,,,,,,,Y,,,,,,Y,,,,,,Y,6,,,,,Y,,,,,
EFPCYCZAPKHNREGZ7NAQUENC,15cm Selenite Knife Sword,,,"This Selenite Knife Sword is 15cm long, making it the perfect size for working on small to medium projects. The crystalline structure of Selenite equips this sword to cut through energy cords, thereby providing protection. This tool is also ideal for removing negative energy and promoting emotional and spiritual balance.

Selenite is unlike any other crystal. It doesn’t need to be charged, and it will amplify the energy of all crystals set upon it. 

The pure, high vibrational energy of the selenite is like pure white light. It has the ability to cleanse, purify and align you with your highest potential. It shifts your aura and energetic vibration to attune you with a higher energy. Low vibrational energies attract negativity on the same level. Raising your vibration is essential to keeping feelings of grief, fear, anger and anxiety out of your mental and physical space. If you’ve been doing a lot of work with crystals during times of stress or emotional turmoil, don’t forget to release that energy from them using Selenite.

Selenite evokes protection from the angelic realm, helping to dispel all negative energy from the body and mind. It is known to bring deep peace and mental clarity.",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,N,N,N,57.23,,N,,N,,N,,,,,,,,,,Y,,,,,,Y,,,,,,Y,1,,,,,Y,,,,,
3N7E5AXCVPZQWLEYLDB4DQS4,18x24 TMV Digital Print,,66AC35C23EFD2_1,"This print is a minimal and chic way to elevate your space. The artwork stands out from any angle as the matte museum-quality paper diffuses the light.


• Paper thickness: 10.3 mil

• Paper weight: 5.57 oz/y² (189 g/m²)

• Giclée printing quality

• Opacity: 94%

• ISO brightness: 104%


This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",Expressly TVM,Expressly TVM,,,,,unavailable,Physical good,,,,Y,,,,31.50,,Y,,N,,N,,,,,,,,,,Y,,,,,,N,,,,,,Y,,,,,,Y,,,,,
LER56UGGJV5J5VGZ2ZQTQB63,"2 "" - 3"" Orange Selenite gazing ball",,,"2 "" - 3"" Orange Selenite gazing ball",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,65.99,,N,,N,,N,,,,,,,,,,Y,,,,,,Y,,,,,,Y,723,,,,,Y,,,,,
PC53AJVTM35W5XRJHAES4BMU,2-Pack Rose Candle,3 Pcs of Pink Candle,,"<p></p><p>Height: 2 inches</p><p></p><p>Width: 2.8 inches</p><p></p><p>Weight: 4 oz</p><p></p><p>Container: glass</p><p></p><p>Includes: 1* pink rose candle, 1* blue rose candle</p><p></p><p><strong>Pink Rose</strong></p><p></p><p>Top Notes: Rose</p><p></p><p>Mid Notes: Vetiver, Cedarwood </p><p></p><p>Base Notes:  Musk, Frankincense, Guaiac Wood</p><p></p><p><strong>Blue Rose</strong></p><p></p><p>Top Notes: Bluebell</p><p></p><p>Mid Notes: Persimmon</p><p></p><p>Base Notes: White musk</p>","TRTR Curated, Whimsical Gifts",Whimsical Gifts,,,,,visible,Physical good,,,,Y,N,N,N,22.18,,N,,N,,N,#color75fed5ac-1318-420d-8f19-dcc30725e419,3 Pcs of Pink Candle,,,,,,,,Y,,,,,,Y,,,,,,Y,100,,,,,Y,,,,,
3YKHGTQ4JH7FATTE5HN3NDPZ,2-Pack Rose Candle,Pink&Yellow,,,"TRTR Curated, Whimsical Gifts",Whimsical Gifts,,,,,visible,Physical good,,,,,,,,14.38,,N,,,,N,#color75fed5ac-1318-420d-8f19-dcc30725e419,Pink&Yellow,,,,,,,,Y,,,,,,Y,,,,,,Y,91,,,,,Y,,,,,
