Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled RRV Richmond,Current Quantity RRV Richmond,New Quantity RRV Richmond,Stock Alert Enabled RRV Richmond,Stock Alert Count RRV Richmond,Price RRV Richmond,Enabled TVM McHenry,Current Quantity TVM McHenry,New Quantity TVM McHenry,Stock Alert Enabled TVM McHenry,Stock Alert Count TVM McHenry,Price TVM McHenry
XA63YLN2GG3VGGNDZWYY7SXZ,1 Pcs Lotus Flower Design Agarbatti Stand Incense Holder Ash Catcher,Regular,,"This Lotus Flower Design Agarbatti Stand is crafted from metal and features an elegant lotus flower motif. Ideal for pooja, office, mandir, and various spiritual events, it also functions as an incense burner with an integrated ash catcher. Finished in bronze, this versatile holder adds a touch of grace and tradition to your spiritual practices.",Space & Atmosphere,Space & Atmosphere,,,,,unavailable,Physical good,,,,Y,,,,60.23,,Y,,N,,N,,,,,,,,,,N,0,,,,,Y,0,,,,
Q34ZD4RAC6HMJK243DNCSAXY,"10"" Quartz Crystal Singing Bowl, Solar Plexus Chakra (Regulate your",Default Title,,"The Solar Plexus Chakra regulates your self-esteem and your ability to express yourself. A healthy Solar Plexus Chakra provides intellectual understanding and awareness of your personal power, helping to maintain balance and harmony among the chakras. It supports the stomach, liver, nervousness, diabetes, and hypoglycemia.",Mind & Clarity,Mind & Clarity,,,,,visible,Physical good,,,,Y,,,,499.00,,N,,N,,N,#title6b5f2562-3650-4986-909c-897f4df54151,Default Title,,,,,,,,N,,,,,,Y,1,,,,
DUZHJBBE4UY7QON43MGHI45R,10-Pcs Sleek Modern Pinky Flatware Silverware Flatware Set,,,"<p></p><h2>What&#39;s Special About This Chic Modern Pinky Flatware Set</h2><p></p><p>Upgrade your dining experience with our Modern Flatware Set - a sleek and stylish 10-piece Nordic style flatware set that is perfect for any occasion. Made from high-quality stainless steel, this flatware set features a modern and minimalist design that will complement any table setting.</p><p></p><p>Each set includes 2 dinner forks, 2 salad forks, 2 dinner knives, 2 teaspoons, and 2 tablespoons, making it a complete flatware solution for your household. Whether you&#39;re hosting a dinner party or simply enjoying a meal with your family, this flatware set is sure to impress.</p><p></p><p>Crafted with attention to detail, this flatware is inspired by the pinky salt lake in Western Australia and would add a touch of elegance to your dining experience. The sleek design and ergonomic handle make it comfortable to hold and easy to use. Plus, it&#39;s dishwasher safe for easy cleaning and maintenance.</p><p></p><p> </p><p></p><p><strong>Type:</strong> Flatware Set / Cutlery Set / Silverware Set <br/></p><p></p><p><strong>Number of Pieces:</strong> 10 pcs in a set, including 2 dinner folks, 2 dinner knives, 2 dinner spoons, 2 tea spoons, 2 dessert folks</p><p></p><p><strong>Materials:</strong> Food Grade Stainless Steel</p><p></p><p><strong>Maintenance:</strong> Dishwasher Safe</p><p></p><p><strong>Size:</strong> </p><p></p><div></div><p></p><p> <br/></p>",The New Things,The New Things,,,,,visible,Physical good,,,,Y,N,N,N,86.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,100,,,,
2QO5WBF22ICPC4OBCCSJSHEW,14 in 1 Outdoor Emergency Survival And Safety Gear Kit Camping,,,mmk,TBDL Exclusive > The Sandbox,TBDL Exclusive > The Sandbox,,,,,visible,Physical good,,,,Y,N,N,N,66.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,100,,,,
VTR3KMSJI55PE67A4MSSKXN3,14-in-1+ Outdoor Emergency Survival Gear Kit – Tactical & Adventure Ready,,,"<strong>In the heart of the Pine Ridge Forest</strong>, Jake and his teenage son Liam set out for a camping trip. A fierce storm left them lost in the snow, but Jake had the <strong>14-in-1 Survival Kit</strong>. They used the glow-in-the-dark compass, firestarter, wire saw, flashlight, and thermal blankets to survive until rescue. This kit isn’t just gear—it’s peace of mind.<br/><strong>Kit Includes:</strong><br/><ul><li>Multi-Function Compass – 360° glow-in-the-dark</li><li>Wire Saw – Stainless steel</li><li>High-Frequency Whistle – Dual hole</li><li>Waterproof Shockproof Case – Compact and lightweight</li><li>Saber Card Multi-Tool – 11 functions</li><li>Tactical Folding Knife – Stainless steel</li><li>Mini Keychain LED Light</li><li>Water Bottle Clip – Belt loop compatible</li><li>Tactical Flashlight – 3 modes</li><li>Emergency Thermal Blankets x2 – 82&#34; x 52&#34;</li><li>Fire Starter + Scraper</li><li>Multi-function Scraper – Secondary striker or opener</li><li>Emergency Tungsten Steel Pen – Writes and breaks glass</li></ul>",TBDL Exclusive,TBDL Exclusive,"14-in-1 Survival Kit for Camping, Emergency & Tactical Use","Compact waterproof tactical survival kit with firestarter, thermal blankets, knife & more. Ideal for outdoor emergencies or prepping.",,,visible,Physical good,,,,Y,N,N,N,99.99,59.99,N,,N,,N,,,,,,,30.00,Salmon Lucy,,N,,,,,,Y,100,,,,
NLNBRVKITO4ZNDMN3WVIAF6T,15cm Brass Singing Bowl – Handcrafted,,Z329890,"🔔 15cm Beaten Brass Singing Bowl with Striker &amp; Mat<br/>--Crafted by skilled artisans, this **15cm hand-hammered brass singing bowl** offers deep, resonant tones that help clear negative energy and promote a grounded meditative state. <br/>--Perfect for meditation, energy healing, or ritual use, each bowl is uniquely textured through traditional beating techniques, enhancing the richness and warmth of its sound.<br/><br/><br/>🌿 Features:<br/>- Creates long-lasting, harmonic vibrations ideal for **clearing space**, calming the mind, and enhancing **chakra alignment**<br/>- Includes a **padded fabric mat** to stabilize your bowl and a **wooden striker** for tone control<br/>- Compact and versatile for **personal altars, meditation corners, or travel**<br/>- Ideal for **sound baths, Reiki, yoga practice**, or sacred ceremonies<br/><br/><br/>🎶 How to Use:<br/>- Hold the bowl gently in the palm of your hand  <br/>- Strike the outer rim with the wooden striker to produce a ringing tone  <br/>- Circle the striker slowly around the rim to deepen the vibration and extend the resonance  <br/><br/><br/>📏 Dimensions:<br/>- **Height**: approx. 3.1&#34; (8 cm)  <br/>- **Width/Diameter**: approx. 5.9&#34; (15 cm)  <br/><br/><br/>🛠️ Material: Solid Brass  <br/>🎁 Includes: 1x Brass Singing Bowl, 1x Wooden Striker, 1x Decorative Fabric Mat<br/><br/><br/>✅ **All-inclusive pricing**: Taxes, shipping, and credit card fees are already included. Usually ships between 4-7 business days <br/><br/><br/><strong>Return Policy</strong><br/>If for any reason you are not happy with your purchase, you may return the item(s) within 15 days of receiving the order. Please note that monogrammed, personalized, special-order items, and items damaged through normal wear and tear are not eligible for return. Photographic evidence is mandatory for any claims.<br/>",Mind & Clarity,Mind & Clarity,15cm Hand-Hammered Brass Singing Bowl,"Meditation bowl crafted from brass with deep, resonant sound—ideal for healing rituals.",,,visible,Physical good,,,,Y,N,N,N,249.99,,N,,N,,N,,,,,,,140.10,Lilac Erebus,,N,,,,,,Y,6,,,,
3N7E5AXCVPZQWLEYLDB4DQS4,18x24 Art Print – TMV Digital Edition,,66AC35C23EFD2_1,"A vivid 18x24 digital print from the TMV collection. Ideal for framing or gifting, this piece brings intentional artistry to your walls and your practice.",Mind & Clarity,Mind & Clarity,TMV Digital Art Print – 18x24 Wall Poster,Vivid 18x24 print from TMV digital series—ideal for art lovers and collectors.,,,visible,Physical good,,,,Y,,Y,Y,31.50,,Y,,N,,,,,,,,,,,,N,,,,,,Y,,,,,
PC53AJVTM35W5XRJHAES4BMU,2-Pack Rose Candles – Scented Mini Votives,3 Pcs of Pink Candle,,"This elegant **Rose Blossom Candle Set** includes two beautifully scented candles—**Pink Rose** and **Blue Rose**—designed to uplift your space and nourish your spirit. Each candle is hand-poured in a clear glass container, making it perfect for ritual use, moon ceremonies, altars, or simple relaxation.

🩷 **Pink Rose Candle** – *For Love, Compassion & Heart-Centered Energy*
- **Top Note**: Rose — gentle and floral
- **Mid Notes**: Vetiver, Cedarwood — grounding and calm
- **Base Notes**: Musk, Frankincense, Guaiac Wood — spiritual, earthy, and protective

💙 **Blue Rose Candle** – *For Tranquility, Intuition & Inner Balance*
- **Top Note**: Bluebell — airy and softly floral
- **Mid Note**: Persimmon — sweet and crisp
- **Base Note**: White Musk — clean, calming, and ethereal

🕯️ **What’s Included:**
1x Pink Rose Candle (2"" H x 2.8"" W, 4 oz) OR  1x Blue Rose Candle (2"" H x 2.8"" W, 4 oz)
- Packaged beautifully and ready for gifting or sacred use

🌿 **Uses & Ritual Ideas:**
- Light **Pink Rose** for love spells, self-compassion rituals, or heart chakra meditation  
- Light **Blue Rose** during journaling, dreamwork, or when seeking calm and clarity  
- Use both together to create an atmosphere of beauty, balance, and energetic harmony
💬 **Affirmation:**  
*“I create a space of love, peace, and alignment with every flame I light.”*


✅ **No need to calculate anything extra**  
**Price includes all taxes, shipping, and credit card fees**—so what you see is what you pay.",Space & Atmosphere,Space & Atmosphere,,,,,visible,Physical good,,,,Y,N,N,N,20.18,,N,,N,,N,#color75fed5ac-1318-420d-8f19-dcc30725e419,3 Pcs of Pink Candle,,,,,10.95,,,N,,,,,,Y,100,,,,
3YKHGTQ4JH7FATTE5HN3NDPZ,2-Pack Rose Candles – Scented Mini Votives,Pink&Yellow,,,Space & Atmosphere,Space & Atmosphere,,,,,visible,Physical good,,,,,,,,14.99,,N,,,,N,#color75fed5ac-1318-420d-8f19-dcc30725e419,Pink&Yellow,,,,,8.50,,,N,,,,,,Y,90,,,,
UQ5LACMDX7R4CZNNID4JNXO6,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Red,,"<p></p><p><strong>Features:</strong></p><p>1.Bluetooth <br/></p><p>2. Compatible with iphone and android mobile phones.<br/></p><p>3.Support TF Card/Aux-in/BT Connection/FM.<br/></p><p><br/></p><p><strong>Specification:</strong><br/></p><p>Material: ABS+silicone<br/></p><p>Color: black, silver, pink, green, blue<br/></p><p>Bluetooth version: BT V5.0+EDR version<br/></p><p>Playing time: 4-5 hours<br/></p><p>Standby time: 120 hours<br/></p><p>Working range: 10 meters (free space)<br/></p><p>Battery capacity: 400 mA<br/></p><p>Transmission distance: 10 meters<br/></p><p>Frequency response range: 20Hz-20KHZ<br/></p><p>Music playing time (100% volume): about 3-4 hours<br/></p><p><br/></p><p><strong>Packages list：</strong><br/></p><p>1 X Bluetooth Headphones<br/></p><p>1 X Charging Cable<br/></p><p>1 X Audio Cable<br/></p><p>1 X Manual</p>",TBDL Exclusive,TBDL Exclusive,,,,,visible,Physical good,,,,Y,N,N,N,37.23,,N,,N,,,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Red,,,,,,,,N,,,,,,Y,1996,,,,
