"token","name","averageAge","measurementUnitAbbreviation","quantity030d","quantity3160d","quantity6190d","quantity91120d","quantityAbove120d","lastReceivedAtDate","valueAbove120d","value91120d","value6190d","value3160d","value030d","_meta"
"HU54JHNZWISUGI3A3464QQCR","10"" Quartz Crystal Singing Bowl, Solar Plexus Chakra (Regulate your","1.0","ea","1.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0",
"Q34ZD4RAC6HMJK243DNCSAXY","Default Title","1.0","ea","1.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0","{}"
"MPHYNO5A44P3ZIEDUOTVVWF3","10-Pcs Sleek Modern Pinky Flatware Silverware Flatware Set","1.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0",
"DUZHJBBE4UY7QON43MGHI45R","-","1.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0","{}"
"K3GIEYQGCTLBIUJFYEHCJL4Q","14 in 1 Outdoor Emergency Survival And Safety Gear Kit Camping","1.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0",
"2QO5WBF22ICPC4OBCCSJSHEW","-","1.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0","{}"
"7KRP5AZZJG57BTSXDG355ZJE","14-in-1+ Outdoor Emergency Survival Gear Kit – Tactical & Adventure Ready","27.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/12/2025","$0","$0","$0","$0","$0",
"VTR3KMSJI55PE67A4MSSKXN3","-","27.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/12/2025","$0","$0","$0","$0","$0","{}"
"GWEO7FKGI2Q5NVFTESEJXUVF","15cm Brass Singing Bowl – Handcrafted","29.0","ea","6.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"NLNBRVKITO4ZNDMN3WVIAF6T","-","29.0","ea","6.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"IDFYM23PMIIG4TSXQUWV3EAH","2-Pack Rose Candles – Scented Mini Votives","29.0","ea","190.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/10/2025","$0","$0","$0","$0","$0",
"PC53AJVTM35W5XRJHAES4BMU","3 Pcs of Pink Candle","29.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/10/2025","$0","$0","$0","$0","$0","{}"
"3YKHGTQ4JH7FATTE5HN3NDPZ","Pink&Yellow","29.0","ea","90.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/10/2025","$0","$0","$0","$0","$0","{}"
"434AG2WCF5NPIBKRTWWTVQGO","2021 New Wireless Headset HIFI Stereo Bluetooth Headphones","29.0","ea","9880.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"RFCERCH3HG52WB4JNRFBY22X","Black","29.0","ea","1987.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"G52K4BZL6RURMC4TAFLTZNBZ","Blue","29.0","ea","1997.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"AVBDBSDLLBOZQGU3Z7ERPCSY","Green","29.0","ea","1976.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"UQ5LACMDX7R4CZNNID4JNXO6","Red","29.0","ea","1996.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"DSIVSGG7VCDDY3ECS4JWB7C6","Silver","29.0","ea","1924.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"ECWJ2DKIOSIJ7QF2O3SN3X5Q","2–3"" Orange Selenite Sphere – Gazing & Energy Work","29.0","ea","723.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"LER56UGGJV5J5VGZ2ZQTQB63","-","29.0","ea","723.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"ICQYC3OCECJIZXJD6A7C5LSV","3 Pcs California White Sage + Lavender Bundle Smudge 4""","29.0","ea","20.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"ML3R7EQABCW45ERG5VSKO4X4","-","29.0","ea","20.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"M6WSHHYEFH5EZHBWHMRN7HXC","4 Pcs White Sage + Red Eucalyptus Bundle Smudge","29.0","ea","12.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"4FVFQVHDAKHDGUCBWQ4FRAYT","-","29.0","ea","12.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"QKQPCTRNLJPMGZ5M6GUXQP65","7 Chakra Stones & Silver, Spiritual Jewelry, Chakra Bracelet","1.0","ea","1.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0",
"XY2EF3Z7XDQTI4TI5NWWPWMC","Default Title","1.0","ea","1.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0","{}"
"OWJDUFWWXBGITKOUSTAPAA6N","7 Chakras Engraved Crescent Moon Selenite Plate","29.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"TS5KP4NT37LGTLVV74T57CBS","shipping in the US.","29.0","ea","100.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"FZSYH6NYMYVAZ7KULUUVC6DE","925 Sterling Silver Heavy Plated Tennis Bracelet Featuring 50 Crystals","29.0","ea","5.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0",
"TPTAMV3BWGV2U6IIFDFOYWZT","Default Title","29.0","ea","5.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","05/11/2025","$0","$0","$0","$0","$0","{}"
"EJ6FHGKZ6LO5PEAAKMSUVAJK","Abstract Neon Floral Delight","1.0","ea","3000.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0",
"S4ANJ6TUB276MMGPUNKGSYFN","37x52""","1.0","ea","1000.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0","{}"
"X4TED25BGWBCNENJU46TFSRM","50x60""","1.0","ea","1000.00 ea","0.00 ea","0.00 ea","0.00 ea","0.00 ea","06/07/2025","$0","$0","$0","$0","$0","{}"
