provider_name,service_plan_name_or_speed_tier,fixed_or_mobile,has_intro_price,intro_price,intro_period,intro_period_duration,monthly_price,contract_required,contract_length,contract_duration,contract_terms_url,early_termination_fee,government_taxes,discounts_url,participates_in_acp,download_speed,download_speed_unit,upload_speed,upload_speed_unit,latency_speed,latency_speed_unit,included_data,included_data_unit,additional_data,additional_data_price,additional_data_unit,network_management_policy_url,privacy_policy_url,customer_support_url,customer_support_phone_number,customer_support_email_address,unique_plan_id,monthly_fee_name_1,monthly_fee_1,monthly_fee_name_2,monthly_fee_2,monthly_fee_name_3,monthly_fee_3,monthly_fee_name_4,monthly_fee_4,monthly_fee_name_5,monthly_fee_5,monthly_fee_name_6,monthly_fee_6,monthly_fee_name_7,monthly_fee_7,monthly_fee_name_8,monthly_fee_8,monthly_fee_name_9,monthly_fee_9,monthly_fee_name_10,monthly_fee_10,monthly_fee_name_11,monthly_fee_11,monthly_fee_name_12,monthly_fee_12,one_time_fee_name_1,one_time_fee_1,one_time_fee_name_2,one_time_fee_2,one_time_fee_name_3,one_time_fee_3
"i3 Broadband, LLC",8 Gig Internet,Fixed,false,"","",Day,$504.00,false,"",Day,"",$0.00 ,Varies by location,http://www.i3broadband.com/nilplandetails/,true,7993 -8070,Mbps,7993 -8070,Mbps,<7,ms,Unlimited,MB,per,$0.00 ,MB,https://www.i3broadband.com/terms-of-service/,https://www.i3broadband.com/terms-of-service/,https://www.i3broadband.com/support/,877-976-0711,support@i3broadband.com,F0026075481i38GIGNIL000504,Optional Smart Wi-Fi First Device,$7.00 ,Optional Smart Wi-Fi Additional Device,$5.00 ,Paperless Billing Fee,FREE,Optional Paper Bill,$5.00 ,Optional Non-Automatic Payment,$5.00 ,____________________,"",One Time Fees,"",Credit Card Per-Transaction Fee,$2.50,Late Payment,1.5%,Unreturned Equipment - Each Device,$140,,,,,Installation Fee,FREE,Activation Fee,FREE,Deposit,$0.00 
"i3 Broadband, LLC / Circle Fiber",Fiber Gig,Fixed,true,$69.99,1,Year,$79.99 ,false,"",Day,"",$0.00 ,Varies by location,https://circlefiber.com/service/#internet,true,1000,Mbps,1000,Mbps,<6,ms,Unlimited,MB,per,$0.00 ,MB,https://circlefiber.com/acceptable-use-policy/,https://circlefiber.com/privacy-policy/,https://circlefiber.com/contact/,800-455-5000,help@circlefiber.com,F0020338323i3CF1G000006999,Optional Smart Wi-Fi - First Device,$9.99 ,Optional Smart Wi-Fi - Additional Device,$9.99,Paperless Billing Fee,FREE,Optional Paper Bill,$5.00 ,Optional Non-Automatic Payment,$5.00 ,____________________,"",One Time Fees,"",Credit Card Per-Transaction Fee,$2.50,Un-returned Equipment Fee - Each Device,$200,,,,,,,Installation Fee,FREE,Activation Fee,FREE,Deposit,$0.00 
"i3 Broadband, LLC",1 Gig Internet,Fixed,true,$59.99,2,Year,$99.99 ,false,"",Day,"",$0.00 ,Varies by location,http://www.i3broadband.com/riplandetails/,true,940-1024,Mbps,35-42,Mbps,<10,ms,Unlimited,MB,per,$0.00 ,MB,https://www.i3broadband.com/terms-of-service/,https://www.i3broadband.com/terms-of-service/,https://www.i3broadband.com/support/,401-247-1250,support_ri@i3broadband.com,F0026946046i3RI1GIG0005999,Optional Smart Wi-Fi First 2 Devices (2 yrs. Free),FREE,Optional Smart Wi-Fi 3rd Device,$6.99 ,Optional Smart Wi-Fi Additional Devices,$3.99,Paperless Billing,FREE,Optional Paper Bill,$3.00,Energy Recovery Fee,$4.99,Returned Payment Fee,$25.99,____________________,"",One Time Fees,"",Credit Card Per-Transaction Fee,$5.00 ,Un-returned Equipment Fee - Each Device,$150.00,Disconnect Fee,$15.00,Installation,FREE,Activation,FREE,Deposit,$0.00 
"i3 Broadband, LLC, Big River Communications",Select 20GB- Contract,Fixed,false,"","",Day,$49.99,true,24,Month,https://residential.bigrivercom.com/about-us/terms-and-conditions/,$250.00,Varies by location,https://residential.bigrivercom.com/phone/,true,7,Mbps,999,Kbps,"",,20,GB,5,$15.00,GB,https://residential.bigrivercom.com/about-us/network-policy/,https://residential.bigrivercom.com/about-us/terms-and-conditions/,https://residential.bigrivercom.com/internet/#support,1-855-244-7483,custserv@bigrivercom.com,F0006473169i3BRCSEL20GB01C,Paperless Billing Fee,$0.00,Paper Bill,$5.00 ,Non-Automatic Payment,$5.00,Credit Card Payment Fee,$0.00,Equipment Lease,$0.00,,,,,,,,,,,,,,,Activation Fee,$35.00,Unreturned Equipment Fee,Up to $200.00 ea.,,
"i3 Broadband, LLC, Big River Communications",Prime 50GB - Contract,Fixed,false,"","",Day,$69.99,true,24,Month,https://residential.bigrivercom.com/about-us/terms-and-conditions/,$250.00,Varies by location,https://residential.bigrivercom.com/phone/,true,7,Mbps,1,Mbps,"",,50,GB,5,$15.00,GB,https://residential.bigrivercom.com/about-us/network-policy/,https://residential.bigrivercom.com/about-us/terms-and-conditions/,https://residential.bigrivercom.com/internet/#support,1-855-244-7483,custserv@bigrivercom.com,F0006473169i3BRCPRI50G001C,Paperless Billing Fee,$0.00,Paper Bill,$5.00 ,Non-Automatic Payment,$5.00,Credit Card Payment Fee,$0.00,Equipment Fee,$0.00,,,,,,,,,,,,,,,Activation Fee,$35.00,Unreturned Equipment Fee,Up to $200.00 ea.,,
"i3 Broadband, LLC, Big River Communications",Ultra - Unlimited - Contract,Fixed,false,"","",Day,$99.99,true,24,Month,https://residential.bigrivercom.com/about-us/terms-and-conditions/,$250.00,Varies by location,https://residential.bigrivercom.com/phone/,true,7,Mbps,1.5,Mbps,"",,Unlimited,GB,"","",GB,https://residential.bigrivercom.com/about-us/network-policy/,https://residential.bigrivercom.com/about-us/terms-and-conditions/,https://residential.bigrivercom.com/internet/#support,1-855-244-7483,custserv@bigrivercom.com,F0006473169i3BRCULTRA0001C,Paperless Billing Fee,$0.00,Paper Bill,$5.00 ,Non-Automatic Payment,$5.00,Credit Card Payment Fee,$0.00,Equipment Fee,$0.00,,,,,,,,,,,,,,,Activation Fee,$35.00,Unreturned Equipment Fee,Up to $200.00 ea.,,
"i3 Broadband, LLC, Big River Communications",Select 20GB,Fixed,false,"","",Day,$64.99,false,24,Month,https://residential.bigrivercom.com/about-us/terms-and-conditions/,$250.00,Varies by location,https://residential.bigrivercom.com/phone/,true,7,Mbps,999,Kbps,"",,20,GB,5,$15.00,GB,https://residential.bigrivercom.com/about-us/network-policy/,https://residential.bigrivercom.com/about-us/terms-and-conditions/,https://residential.bigrivercom.com/internet/#support,1-855-244-7483,custserv@bigrivercom.com,F0006473169i3BRCSEL20GB001,Paperless Billing Fee,$0.00,Paper Bill,$5.00 ,Non-Automatic Payment,$5.00,Credit Card Payment Fee,$0.00,Equipment Fee,$0.00,,,,,,,,,,,,,,,Activation Fee,$75.00,Unreturned Equipment Fee,Up to $200.00 ea.,,
"i3 Broadband, LLC, Big River Communications",Ultra - Unlimited,Fixed,false,"","",Day,$114.99,false,24,Month,https://residential.bigrivercom.com/about-us/terms-and-conditions/,$250.00,Varies by location,https://residential.bigrivercom.com/phone/,true,7,Mbps,1.5,Mbps,"",,Unlimited,GB,$0.00,"",GB,https://residential.bigrivercom.com/about-us/network-policy/,https://residential.bigrivercom.com/about-us/terms-and-conditions/,https://residential.bigrivercom.com/internet/#support,1-855-244-7483,custserv@bigrivercom.com,F0006473169i3BRCULTRA00001,Paperless Billing Fee,$0.00,Paper Bill,$5.00 ,Non-Automatic Payment,$5.00,Credit Card Payment Fee,$0.00,Equipment Lease,$0.00,,,,,,,,,,,,,,,Activation Fee,$75.00,Unreturned Equipment Fee,Up to $200.00 ea.,,
"i3 Broadband, LLC",8 Gig Internet,Fixed,false,"","",Day,$504.00,false,"",Day,"",$0.00 ,Varies by location,http://www.i3broadband.com/moplandetails/,true,7993 -8070,Mbps,7993 -8070,Mbps,<7,ms,Unlimited,MB,per,$0.00 ,MB,https://www.i3broadband.com/terms-of-service/,https://www.i3broadband.com/terms-of-service/,https://www.i3broadband.com/support/,877-976-0711,support@i3broadband.com,F0026075481i38GIGMO0000504,Optional Smart Wi-Fi First Device,$7.00 ,Optional Smart Wi-Fi Additional Device,$5.00 ,Paperless Billing Fee,FREE,Optional Paper Bill,$5.00 ,Optional Non-Automatic Payment,$5.00 ,____________________,"",One Time Fees,"",Credit Card Per-Transaction Fee,$2.50,Late Payment,1.5%,Unreturned Equipment - Each Device,$140,,,,,Installation Fee,FREE,Activation Fee,FREE,Deposit,$0.00 
"i3 Broadband, LLC, Big River Communications",Prime 50GB,Fixed,false,"","",Day,$84.99,false,24,Month,https://residential.bigrivercom.com/about-us/terms-and-conditions/,$250.00,Varies by location,https://residential.bigrivercom.com/phone/,true,7,Mbps,1,Mbps,"",,50,GB,5,$15.00,GB,https://residential.bigrivercom.com/about-us/network-policy/,https://residential.bigrivercom.com/about-us/terms-and-conditions/,https://residential.bigrivercom.com/internet/#support,1-855-244-7483,custserv@bigrivercom.com,F0006473169i3BRCPRIME50G01,Paperless Billing Fee,$0.00,Paper Bill,$5.00 ,Non-Automatic Payment,$5.00,Credit Card Payment Fee,$0.00,Equipment Fee,$0.00,,,,,,,,,,,,,,,Activation Fee,$75.00,Unreturned Equipment Fee,Up to $200.00 ea.,,
